Episode,Reward_Left,Reward_Right,Epsilon_Left,Epsilon_Right,Loss_Left,Loss_Right,MaxQ_Left,MaxQ_Right,Outcome
259,17,-14,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Left Wins
260,12,-8,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Left Wins
261,38,-30,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Left Wins
263,11,1,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Left Wins
264,-3,6,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
265,-25,26,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
266,-29,31,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
267,-3,6,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
268,-30,33,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
269,9,-2,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Left Wins
270,-17,24,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
271,-19,22,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
272,-14,16,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
273,-14,19,0.049911691230058335,0.049911691230058335,0.0,0.0,0.0,0.0,Right Wins
